Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2003-03-28,0.257143,0.261071,0.256607,0.260179,145303200,0.222785
2003-03-31,0.255893,0.259464,0.250714,0.2525,256659200,0.216209
2003-04-01,0.253571,0.255536,0.25125,0.252857,154341600,0.216515
2003-04-02,0.256429,0.262321,0.254821,0.260714,171371200,0.223243
2003-04-03,0.26,0.2625,0.25625,0.258214,145712000,0.221102
2003-04-04,0.259286,0.261964,0.256964,0.257321,146020000,0.220337
2003-04-07,0.265179,0.266964,0.257321,0.25875,196862400,0.221561
2003-04-08,0.259107,0.261607,0.256429,0.258036,128934400,0.22095
2003-04-09,0.259286,0.261071,0.2525,0.253393,146725600,0.216974
2003-04-10,0.253571,0.256964,0.253571,0.256607,107100000,0.219726
2003-04-11,0.250893,0.257857,0.230893,0.235714,1392708800,0.201836
2003-04-14,0.244821,0.245536,0.241071,0.2425,502958400,0.207647
2003-04-15,0.242679,0.242857,0.2375,0.239107,303968000,0.204741
2003-04-16,0.231964,0.244107,0.230714,0.236429,1016176000,0.202448
2003-04-17,0.235714,0.236607,0.227143,0.234286,616257600,0.200613
2003-04-21,0.234464,0.235536,0.231786,0.234643,152320000,0.200919
2003-04-22,0.235357,0.243214,0.23375,0.24125,300568800,0.206576
2003-04-23,0.241607,0.243393,0.238571,0.2425,209680800,0.207647
2003-04-24,0.241429,0.243036,0.232143,0.24,325108000,0.205506
2003-04-25,0.240357,0.2425,0.23625,0.238393,205318400,0.20413
2003-04-28,0.240714,0.249286,0.239821,0.2475,636798400,0.211928
2003-04-29,0.249643,0.252857,0.2425,0.251071,458236800,0.214986
2003-04-30,0.24875,0.25625,0.247321,0.253929,458175200,0.217433
2003-05-01,0.254464,0.256964,0.25,0.256429,342759200,0.219573
2003-05-02,0.258214,0.260536,0.256071,0.258036,321182400,0.22095
2003-05-05,0.26375,0.301429,0.263393,0.287321,1555708000,0.246026
2003-05-06,0.287857,0.319643,0.2875,0.3125,1514492000,0.267586
2003-05-07,0.309464,0.325714,0.305536,0.315179,1054379200,0.26988
2003-05-08,0.316071,0.322679,0.30875,0.321429,687736000,0.275231
2003-05-09,0.327321,0.328571,0.319286,0.326786,588386400,0.279818
2003-05-12,0.324107,0.334643,0.32375,0.331429,419372800,0.283794
2003-05-13,0.329107,0.33875,0.320536,0.333393,446796000,0.285476
2003-05-14,0.33625,0.336429,0.329107,0.33125,355488000,0.283641
2003-05-15,0.332143,0.336607,0.329821,0.334464,284995200,0.286393
2003-05-16,0.331964,0.339464,0.326429,0.335714,341628000,0.287463
2003-05-19,0.330893,0.333036,0.3225,0.323214,445888800,0.27676
2003-05-20,0.323214,0.324286,0.314286,0.317679,416220000,0.27202
2003-05-21,0.317679,0.323036,0.315536,0.31875,305009600,0.272937
2003-05-22,0.319464,0.328571,0.316786,0.325714,178460800,0.278901
2003-05-23,0.325179,0.329643,0.320714,0.327143,206718400,0.280124
